,delta,vertex,iterration,entropy,u_old
0,0.1,17,32.0,0.35874318850430853,"[5.52835391e-264 9.66147765e-132 1.27722501e-065 1.46851824e-032
 4.97949513e-016 9.16934466e-008 1.24438255e-003 1.46518267e-001
 2.23716744e+000 1.46518267e-001 1.24438255e-003 9.16934466e-008
 4.97949513e-016 1.46851824e-032 1.27722501e-065 9.66147765e-132
 5.52835391e-264]"
1,0.2,18,32.0,0.9743328989598983,"[7.54620825e-226 1.42868836e-112 6.21644175e-056 1.29671355e-027
 1.87281612e-013 2.25071595e-006 7.80274409e-003 4.60223512e-001
 3.58927493e+000 3.58927493e+000 4.60223512e-001 7.80274409e-003
 2.25071595e-006 1.87281612e-013 1.29671355e-027 6.21644175e-056
 1.42868836e-112 7.54620825e-226]"
2,0.3,19,31.0,1.1056553687778345,"[9.00770307e-266 7.86344771e-133 2.32522369e-066 3.99935531e-033
 1.65874892e-016 3.37818861e-008 4.82091922e-004 5.74650272e-002
 6.11165831e-001 1.75780906e+000 6.11165831e-001 5.74650272e-002
 4.82091922e-004 3.37818861e-008 1.65874892e-016 3.99935531e-033
 2.32522369e-066 7.86344771e-133 9.00770307e-266]"
3,0.4,20,33.0,1.2496827792150789,"[3.59529377e-290 1.05323153e-144 5.70057658e-072 1.32622219e-035
 2.02285638e-017 2.49827034e-008 8.77952725e-004 1.64194552e-001
 2.17437174e+000 6.91680560e+000 6.91680560e+000 2.17437174e+000
 1.64194552e-001 8.77952725e-004 2.49827034e-008 2.02285638e-017
 1.32622219e-035 5.70057658e-072 1.05323153e-144 3.59529377e-290]"
4,0.5,17,33.0,1.4552037471900565,"[5.48552618e-85 2.88370820e-42 6.61177176e-21 3.16592871e-10
 6.92774140e-05 3.23684525e-02 6.82447895e-01 2.81003475e+00
 4.31977206e+00 2.81003475e+00 6.82447895e-01 3.23684525e-02
 6.92774140e-05 3.16592871e-10 6.61177176e-21 2.88370820e-42
 5.48552618e-85]"
5,0.6,16,36.0,1.058063316217186,"[9.08284268e-55 2.65941399e-29 1.43902397e-16 3.34741031e-10
 5.10328986e-07 1.96150083e-05 1.11430918e-04 2.18842218e-04
 2.18842218e-04 1.11430918e-04 1.96150083e-05 5.10328986e-07
 3.34741031e-10 1.43902397e-16 2.65941399e-29 9.08284268e-55]"
6,0.7,20,32.0,1.6978585868489942,"[2.06374604e-174 3.74648910e-087 1.59627847e-043 1.04195931e-021
 8.41824995e-011 2.39279946e-005 1.27407130e-002 2.85835858e-001
 1.21044496e+000 2.06164478e+000 2.06164478e+000 1.21044496e+000
 2.85835858e-001 1.27407130e-002 2.39279946e-005 8.41824995e-011
 1.04195931e-021 1.59627847e-043 3.74648910e-087 2.06374604e-174]"
7,0.8,20,33.0,1.7728374337162849,"[8.41106467e-151 3.78233377e-075 2.53637989e-037 2.07702407e-018
 5.94367623e-009 3.17947993e-004 7.33090788e-002 1.06562074e+000
 3.56738397e+000 5.49853274e+000 5.49853274e+000 3.56738397e+000
 1.06562074e+000 7.33090788e-002 3.17947993e-004 5.94367623e-009
 2.07702407e-018 2.53637989e-037 3.78233377e-075 8.41106467e-151]"
8,0.9,17,33.0,1.8582899107514717,"[7.18404990e-47 1.87070336e-23 9.54603075e-12 6.81916630e-06
 5.75836474e-03 1.63248809e-01 7.81880493e-01 1.47000597e+00
 1.73439043e+00 1.47000597e+00 7.81880493e-01 1.63248809e-01
 5.75836474e-03 6.81916630e-06 9.54603075e-12 1.87070336e-23
 7.18404990e-47]"
