,0,1,2,3,4,5,6,7
0,"{'interation': 0, 'entropy': np.float64(0.6931), 'u_calculated': [0.5, 0.5]}",,,,,,,
1,"{'interation': 0, 'entropy': np.float64(0.6931), 'u_calculated': [0.5, 0.5]}",,,,,,,
2,"{'interation': 0, 'entropy': np.float64(0.6931), 'u_calculated': [0.5, 0.5]}",,,,,,,
3,"{'interation': 0, 'entropy': np.float64(1.0519), 'u_calculated': [0.25925925925925924, 0.48148148148148145, 0.25925925925925924]}","{'interation': 1, 'entropy': np.float64(0.8679), 'u_calculated': [0.16679367982522986, 0.6664126403495401, 0.16679367982522986]}","{'interation': 2, 'entropy': np.float64(0.5227), 'u_calculated': [0.07417995063346357, 0.8516400987330719, 0.07417995063346357]}",,,,,
4,"{'interation': 0, 'entropy': np.float64(1.3142), 'u_calculated': [0.34375, 0.34375, 0.15625, 0.15625]}","{'interation': 1, 'entropy': np.float64(1.0819), 'u_calculated': [0.43438720703125, 0.43438720703125, 0.06561279296875, 0.06561279296875]}","{'interation': 2, 'entropy': np.float64(0.809), 'u_calculated': [0.48764981540944063, 0.48764981540944063, 0.012350184590559365, 0.012350184590559365]}","{'interation': 3, 'entropy': np.float64(0.7004), 'u_calculated': [0.4995461862964151, 0.4995461862964151, 0.0004538137035848636, 0.0004538137035848636]}","{'interation': 4, 'entropy': np.float64(0.6932), 'u_calculated': [0.4999993823462901, 0.49999938234629016, 6.176537096537358e-07, 6.176537096537357e-07]}","{'interation': 5, 'entropy': np.float64(0.6931), 'u_calculated': [0.49999999999885464, 0.4999999999988547, 1.1444878438820941e-12, 1.1444878438820941e-12]}",,
5,"{'interation': 0, 'entropy': np.float64(1.4132), 'u_calculated': [0.44000000000000034, 0.10400000000000005, 0.24800000000000016, 0.10400000000000005, 0.10400000000000005]}","{'interation': 1, 'entropy': np.float64(0.9423), 'u_calculated': [0.6551198720000012, 0.03019827200000006, 0.2542853120000005, 0.030198272000000057, 0.030198272000000057]}","{'interation': 2, 'entropy': np.float64(0.546), 'u_calculated': [0.7978928434529916, 0.002680729134847639, 0.19406496914247048, 0.002680729134847638, 0.002680729134847638]}",,,,,
6,"{'interation': 0, 'entropy': np.float64(1.6958), 'u_calculated': [0.185185185185185, 0.07407407407407407, 0.24074074074074048, 0.24074074074074048, 0.185185185185185, 0.07407407407407407]}","{'interation': 1, 'entropy': np.float64(1.4337), 'u_calculated': [0.1511456586902399, 0.015648021134989566, 0.3332063201747691, 0.33320632017476914, 0.15114565869024, 0.01564802113498957]}","{'interation': 2, 'entropy': np.float64(1.1212), 'u_calculated': [0.07345303210374608, 0.0007269185297169434, 0.425820049366533, 0.42582004936653317, 0.07345303210374612, 0.0007269185297169437]}","{'interation': 3, 'entropy': np.float64(0.8327), 'u_calculated': [0.0156900359171474, 1.5844634236990078e-06, 0.48430837961941703, 0.4843083796194175, 0.01569003591714743, 1.5844634236990095e-06]}","{'interation': 4, 'entropy': np.float64(0.7042), 'u_calculated': [0.0007309534433132787, 7.531565067451786e-12, 0.49926904654911974, 0.49926904654912063, 0.000730953443313281, 7.5315650674518e-12]}","{'interation': 5, 'entropy': np.float64(0.6932), 'u_calculated': [1.6020977553586586e-06, 1.701734170949137e-22, 0.49999839790213924, 0.49999839790214057, 1.6020977553586686e-06, 1.7017341709491437e-22]}","{'interation': 6, 'entropy': np.float64(0.6931), 'u_calculated': [7.700143428910359e-12, 8.687697565726021e-44, 0.49999999999198463, 0.4999999999919866, 7.700143428910454e-12, 8.687697565726088e-44]}",
7,"{'interation': 0, 'entropy': np.float64(1.7233), 'u_calculated': [0.19533527696792977, 0.35276967930029063, 0.14285714285714282, 0.055393586005830914, 0.14285714285714282, 0.055393586005830914, 0.055393586005830914]}","{'interation': 1, 'entropy': np.float64(1.2418), 'u_calculated': [0.24046284140101692, 0.5460193186695775, 0.0934608150394088, 0.008865403283528032, 0.0934608150394088, 0.008865403283528032, 0.00886540328352803]}","{'interation': 2, 'entropy': np.float64(0.8056), 'u_calculated': [0.24268549450219007, 0.6985418732935764, 0.029034727251999532, 0.00023439256674084725, 0.02903472725199953, 0.00023439256674084725, 0.00023439256674084717]}","{'interation': 3, 'entropy': np.float64(0.5043), 'u_calculated': [0.179130888769042, 0.8158291554265104, 0.0025197307113996835, 1.647938710332893e-07, 0.0025197307113996826, 1.647938710332893e-07, 1.6479387103328916e-07]}",,,,
8,"{'interation': 0, 'entropy': np.float64(1.6887), 'u_calculated': [0.04296875, 0.11328125, 0.44140625, 0.04296875, 0.16015625, 0.04296875, 0.11328125, 0.04296875]}","{'interation': 1, 'entropy': np.float64(1.0113), 'u_calculated': [0.00538027286529541, 0.06023252010345459, 0.6866406202316284, 0.00538027286529541, 0.17137324810028076, 0.00538027286529541, 0.06023252010345459, 0.00538027286529541]}","{'interation': 2, 'entropy': np.float64(0.5177), 'u_calculated': [8.653051918116526e-05, 0.01226365407137821, 0.845609005308275, 8.653051918116528e-05, 0.12951756447224552, 8.653051918116526e-05, 0.012263654071378211, 8.653051918116526e-05]}",,,,,
9,"{'interation': 0, 'entropy': np.float64(1.5641), 'u_calculated': [0.5528120713305914, 0.03429355281207131, 0.09190672153635109, 0.03429355281207131, 0.09190672153635109, 0.03429355281207131, 0.09190672153635109, 0.03429355281207131, 0.03429355281207131]}","{'interation': 1, 'entropy': np.float64(0.6142), 'u_calculated': [0.8618260326443401, 0.0034474815811819373, 0.04031218648325018, 0.0034474815811819373, 0.040312186483250176, 0.0034474815811819377, 0.040312186483250176, 0.0034474815811819377, 0.0034474815811819377]}",,,,,,
