,delta,entropy
0,0.1,0.4879667410958085
1,0.2,0.7777190358261548
2,0.3,0.9338687154439118
3,0.4,1.1147023632875563
4,0.5,1.275235287712356
5,0.6,1.2496083512460219
6,0.7,1.3889461708749908
7,0.8,1.4340888491964483
8,0.9,1.5126169795535649
