,delta,vertex,iterration,entropy,entropy_range,u_old
0,0.1,30,14.0,0.9044617902724471,"[0.905045173537265, 0.904338924549919, 0.9042386293070289, 0.9042244336955755]","[0.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 0.00000000e+000 8.48188070e-228 8.68068564e-134
 6.19067981e-074 4.88418408e-038 4.56087055e-019 1.71536915e-009
 1.06815801e-004 2.68153435e-002 4.73077835e-001 4.73077835e-001
 2.68153435e-002 1.06815801e-004 1.71536915e-009 4.56087055e-019
 4.88418408e-038 6.19067981e-074 8.68068564e-134 8.48188070e-228
 0.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 0.00000000e+000]"
1,0.2,30,15.0,1.0608733466753997,"[1.061606226680598, 1.0607901024144897, 1.0605764323946854, 1.0605206252118256]","[0.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 0.00000000e+000 1.49219155e-201 1.02360754e-108
 3.98137441e-056 1.99981498e-028 2.37730224e-014 2.78442674e-007
 9.62053518e-004 5.67187806e-002 4.42318875e-001 4.42318875e-001
 5.67187806e-002 9.62053518e-004 2.78442674e-007 2.37730224e-014
 1.99981498e-028 3.98137441e-056 1.02360754e-108 1.49219155e-201
 0.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 0.00000000e+000]"
2,0.3,30,15.0,1.200405596167013,"[1.2021335740038637, 1.2003277708821642, 1.199691998153245, 1.1994690416287797]","[0.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 4.27835292e-292 4.10165325e-162 4.48080045e-086
 2.23431895e-044 1.31083895e-022 1.54772575e-011 5.76324256e-006
 3.56621510e-003 8.79775059e-002 4.08450504e-001 4.08450504e-001
 8.79775059e-002 3.56621510e-003 5.76324256e-006 1.54772575e-011
 1.31083895e-022 2.23431895e-044 4.48080045e-086 4.10165325e-162
 4.27835292e-292 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 0.00000000e+000]"
3,0.4,30,16.0,1.324118013862205,"[1.324964063110756, 1.3241107508627472, 1.3237675476629869, 1.3236296938123295]","[0.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 9.43572444e-269 8.93584296e-141 3.96203045e-072
 1.21280062e-036 1.21585500e-018 1.37886468e-009 4.76304356e-005
 8.87695067e-003 1.17468132e-001 3.73607249e-001 3.73607249e-001
 1.17468132e-001 8.87695067e-003 4.76304356e-005 1.37886468e-009
 1.21585500e-018 1.21280062e-036 3.96203045e-072 8.93584296e-141
 9.43572444e-269 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 0.00000000e+000]"
4,0.5,30,15.0,1.432540752586286,"[1.434302154383737, 1.432544432160407, 1.4318109310062386, 1.4315054927947624]","[0.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 2.33620002e-212 4.86806844e-114 2.61893005e-059
 2.02488810e-030 1.29902213e-015 3.95877154e-008 2.27325073e-004
 1.72448848e-002 1.41790311e-001 3.40737429e-001 3.40737429e-001
 1.41790311e-001 1.72448848e-002 2.27325073e-004 3.95877154e-008
 1.29902213e-015 2.02488810e-030 2.61893005e-059 4.86806844e-114
 2.33620002e-212 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 0.00000000e+000]"
5,0.6,30,15.0,1.5232562054337069,"[1.5245254566174606, 1.523250146040256, 1.5227303770175693, 1.5225188420595417]","[0.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 1.34434371e-184 5.84600512e-098 1.26941981e-050
 6.10964543e-026 2.26455784e-013 4.87300090e-007 7.31174827e-004
 2.80105223e-002 1.59011510e-001 3.12246294e-001 3.12246294e-001
 1.59011510e-001 2.80105223e-002 7.31174827e-004 4.87300090e-007
 2.26455784e-013 6.10964543e-026 1.26941981e-050 5.84600512e-098
 1.34434371e-184 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 0.00000000e+000]"
6,0.7,30,15.0,1.5999303340937043,"[1.6008465460874244, 1.5999165154121078, 1.5995509046087761, 1.599407370266509]","[0.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000
 5.88790832e-295 7.83919271e-162 4.65671682e-085 9.06169152e-044
 1.93100094e-022 1.24597242e-011 3.38734699e-006 1.78786534e-003
 4.00391780e-002 1.69495777e-001 2.88673781e-001 2.88673781e-001
 1.69495777e-001 4.00391780e-002 1.78786534e-003 3.38734699e-006
 1.24597242e-011 1.93100094e-022 9.06169152e-044 4.65671682e-085
 7.83919271e-162 5.88790832e-295 0.00000000e+000 0.00000000e+000
 0.00000000e+000 0.00000000e+000]"
7,0.8,30,14.0,1.666670540914847,"[1.668503397137085, 1.6666320121247777, 1.6659115939759102, 1.6656351604216153]","[0.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000
 9.50771808e-230 3.25676326e-132 7.97917620e-072 1.17219364e-037
 1.59155029e-019 3.17683099e-010 1.58411261e-005 3.60313895e-003
 5.22330615e-002 1.74774351e-001 2.69373603e-001 2.69373603e-001
 1.74774351e-001 5.22330615e-002 3.60313895e-003 1.58411261e-005
 3.17683099e-010 1.59155029e-019 1.17219364e-037 7.97917620e-072
 3.25676326e-132 9.50771808e-230 0.00000000e+000 0.00000000e+000
 0.00000000e+000 0.00000000e+000]"
8,0.9,30,14.0,1.7245184803869698,"[1.7260263295940959, 1.7244810038254854, 1.7238943496328527, 1.7236722384954455]","[0.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000
 3.84026857e-209 9.86010878e-119 7.82696824e-064 2.61992164e-033
 2.76600002e-017 4.12946268e-009 5.43368314e-005 6.28224695e-003
 6.37215520e-002 1.76510445e-001 2.53431411e-001 2.53431411e-001
 1.76510445e-001 6.37215520e-002 6.28224695e-003 5.43368314e-005
 4.12946268e-009 2.76600002e-017 2.61992164e-033 7.82696824e-064
 9.86010878e-119 3.84026857e-209 0.00000000e+000 0.00000000e+000
 0.00000000e+000 0.00000000e+000]"
